,date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
27,2018/8/13,10001244,2.6,50ETF沽2018年9月2.60,"13,138,717.00",0.11800000000000001,0.1492,0.114,0.1224,0.1224,"9,894","13,555",0.3643,0.0001,-0.603,1.821,0.33799999999999997,-0.29100000000000004,-0.198
28,2018/8/13,10001245,2.65,50ETF沽2018年9月2.65,"8,024,176.00",0.1462,0.1853,0.1462,0.1558,0.1558,"4,778","9,073",0.3953,0.0001,-0.687,1.675,0.311,-0.255,-0.228
29,2018/8/13,10001246,2.7,50ETF沽2018年9月2.70,"6,557,163.00",0.1824,0.2249,0.1824,0.1933,0.1933,"3,139","7,414",0.43,0.0001,-0.762,1.465,0.272,-0.21,-0.255
30,2018/8/13,10001275,2.55,50ETF购2018年9月2.55,"17,682,138.00",0.0793,0.0859,0.0647,0.0778,0.0778,"23,939","20,483",0.3461,0.0001,0.488,1.89,0.35,-0.38299999999999995,0.139
31,2018/8/13,10001276,2.55,50ETF沽2018年9月2.55,"14,276,712.00",0.0864,0.1167,0.0863,0.0933,0.0933,"13,997","14,247",0.3379,0.0001,-0.511,1.875,0.35,-0.311,-0.16699999999999998
32,2018/8/13,10001281,2.5,50ETF购2018年9月2.50,"14,650,869.00",0.11,0.111,0.087,0.10400000000000001,0.10400000000000001,"14,973","17,092",0.3733,0.0001,0.5820000000000001,1.825,0.34299999999999997,-0.387,0.165
33,2018/8/13,10001282,2.5,50ETF沽2018年9月2.50,"15,507,474.00",0.0688,0.0893,0.0631,0.0695,0.0695,"19,983","15,720",0.3059,0.0001,-0.419,1.815,0.34299999999999997,-0.316,-0.136
34,2018/8/13,10001311,2.45,50ETF购2018年9月2.45,"5,921,315.00",0.1423,0.1427,0.1139,0.132,0.132,"4,636","8,654",0.4068,0.0001,0.674,1.7180000000000002,0.316,-0.359,0.19
35,2018/8/13,10001312,2.45,50ETF沽2018年9月2.45,"8,425,207.00",0.048,0.0663,0.0446,0.0504,0.0504,"14,731","16,060",0.2784,0.0001,-0.331,1.661,0.318,-0.302,-0.107
36,2018/8/13,10001313,2.5,50ETF购2018年12月2.50,"3,166,142.00",0.1707,0.171,0.14800000000000002,0.1626,0.1626,"2,004","5,342",0.4322,0.0001,0.589,1.151,0.598,-0.217,0.491
37,2018/8/13,10001314,2.55,50ETF购2018年12月2.55,"2,454,982.00",0.1454,0.1454,0.1245,0.1392,0.1386,"1,858","5,017",0.4058,0.0001,0.531,1.168,0.611,-0.218,0.445
38,2018/8/13,10001315,2.6,50ETF购2018年12月2.60,"948,674.00",0.12,0.12,0.1033,0.1151,0.1151,857,"5,151",0.3782,0.0001,0.473,1.179,0.611,-0.213,0.4
39,2018/8/13,10001316,2.65,50ETF购2018年12月2.65,"820,576.00",0.10400000000000001,0.10400000000000001,0.0856,0.0959,0.0959,884,"6,784",0.35,0.0001,0.41700000000000004,1.153,0.599,-0.207,0.354
40,2018/8/13,10001317,2.7,50ETF购2018年12月2.70,"1,210,855.00",0.0853,0.0853,0.0701,0.0788,0.0788,"1,620","13,144",0.3281,0.0001,0.363,1.111,0.5760000000000001,-0.196,0.31
41,2018/8/13,10001318,2.75,50ETF购2018年12月2.75,"525,819.00",0.0692,0.0692,0.0569,0.0645,0.0635,852,"8,875",0.3055,0.0001,0.311,1.055,0.5429999999999999,-0.18100000000000002,0.268
42,2018/8/13,10001319,2.8,50ETF购2018年12月2.80,"375,862.00",0.0557,0.0557,0.0463,0.0512,0.0509,752,"8,055",0.2864,0.0001,0.264,0.9790000000000001,0.502,-0.166,0.228
43,2018/8/13,10001320,2.85,50ETF购2018年12月2.85,"139,181.00",0.0444,0.0444,0.0372,0.0408,0.0408,347,"6,323",0.2713,0.0001,0.222,0.892,0.457,-0.15,0.193
44,2018/8/13,10001321,2.9,50ETF购2018年12月2.90,"164,613.00",0.0354,0.0354,0.0301,0.0325,0.0325,506,"10,308",0.2573,0.0001,0.185,0.799,0.41,-0.133,0.161
45,2018/8/13,10001322,2.5,50ETF沽2018年12月2.50,"2,945,961.00",0.1123,0.1377,0.1123,0.1179,0.11800000000000001,"2,315","8,359",0.3543,0.0001,-0.413,1.081,0.598,-0.156,-0.429
46,2018/8/13,10001323,2.55,50ETF沽2018年12月2.55,"2,224,549.00",0.1364,0.1635,0.1364,0.1416,0.1416,"1,455","3,780",0.3868,0.0001,-0.46799999999999997,1.112,0.611,-0.154,-0.489
47,2018/8/13,10001324,2.6,50ETF沽2018年12月2.60,"1,307,533.00",0.1595,0.1921,0.1595,0.168,0.168,726,"4,127",0.4128,0.0001,-0.523,1.12,0.612,-0.14800000000000002,-0.551
48,2018/8/13,10001325,2.65,50ETF沽2018年12月2.65,"1,713,100.00",0.1872,0.2234,0.1872,0.1976,0.1977,815,"5,131",0.4393,0.0001,-0.5770000000000001,1.103,0.601,-0.14,-0.612
49,2018/8/13,10001326,2.7,50ETF沽2018年12月2.70,"1,963,337.00",0.2237,0.2569,0.2237,0.2286,0.2294,810,"5,386",0.4713,0.0001,-0.629,1.07,0.581,-0.127,-0.672
50,2018/8/13,10001327,2.75,50ETF沽2018年12月2.75,"1,052,316.00",0.2576,0.2932,0.2576,0.2629,0.2642,383,"4,580",0.5031,0.0001,-0.677,1.015,0.551,-0.114,-0.73
51,2018/8/13,10001328,2.8,50ETF沽2018年12月2.80,"2,070,218.00",0.2968,0.3332,0.2957,0.3005,0.3013,654,"5,480",0.5391,0.0289,-0.721,0.948,0.516,-0.099,-0.785
52,2018/8/13,10001329,2.85,50ETF沽2018年12月2.85,"1,052,495.00",0.3465,0.3725,0.3372,0.33899999999999997,0.3432,294,"3,628",0.5777,0.0675,-0.755,0.863,0.483,-0.08900000000000001,-0.8320000000000001
53,2018/8/13,10001330,2.9,50ETF沽2018年12月2.90,"1,032,278.00",0.3849,0.4146,0.376,0.381,0.3816,258,"4,527",0.6178,0.1076,-0.7959999999999999,0.7909999999999999,0.436,-0.068,-0.884
54,2018/8/13,10001331,2.45,50ETF购2018年12月2.45,"774,265.00",0.2007,0.2007,0.1754,0.1929,0.1921,415,"2,688",0.4625,0.0001,0.645,1.088,0.5720000000000001,-0.214,0.532
55,2018/8/13,10001332,2.45,50ETF沽2018年12月2.45,"1,594,877.00",0.0929,0.1157,0.0929,0.0961,0.0961,"1,531","9,141",0.3242,0.0001,-0.359,1.038,0.574,-0.153,-0.37
