date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
2017/12/29,10000969,2.553,50ETF购2018年3月2.553A,"1,475,726.00",0.3649,0.3702,0.3457,0.3508,0.3508,409,"2,805",0.6365,0.0655,0.855,0.663,0.321,-0.221,0.511
2017/12/29,10000970,2.602,50ETF购2018年3月2.602A,"773,311.00",0.3186,0.32,0.3001,0.305,0.305,248,"2,195",0.593,0.022,0.833,0.789,0.353,-0.223,0.506
2017/12/29,10000971,2.651,50ETF购2018年3月2.651A,"512,123.00",0.2651,0.28,0.258,0.2611,0.2611,190,"3,961",0.5503,0.0001,0.801,0.942,0.393,-0.228,0.495
2017/12/29,10000972,2.7,50ETF购2018年3月2.70A,"1,319,814.00",0.2237,0.2393,0.2165,0.2198,0.2198,585,"6,724",0.5083,0.0001,0.759,1.115,0.44,-0.236,0.476
2017/12/29,10000973,2.749,50ETF购2018年3月2.749A,"984,226.00",0.1878,0.2002,0.18,0.1817,0.1817,525,"7,806",0.471,0.0001,0.705,1.291,0.487,-0.243,0.447
2017/12/29,10000974,2.553,50ETF沽2018年3月2.553A,"42,330.00",0.007,0.0072,0.0058,0.0062,0.0062,627,"11,546",0.2322,0.0001,-0.06,0.528,0.169,-0.051,-0.044
2017/12/29,10000975,2.602,50ETF沽2018年3月2.602A,"98,364.00",0.0097,0.0106,0.0085,0.0085,0.0085,"1,006","11,588",0.2453,0.0001,-0.082,0.712,0.214,-0.059,-0.059
2017/12/29,10000976,2.651,50ETF沽2018年3月2.651A,"156,923.00",0.0144,0.0158,0.0126,0.0126,0.0126,"1,074","16,719",0.2596,0.0001,-0.118,0.966,0.28,-0.073,-0.086
2017/12/29,10000977,2.7,50ETF沽2018年3月2.70A,"160,515.00",0.0213,0.0231,0.0191,0.0191,0.0201,739,"15,822",0.2776,0.0001,-0.175,1.267,0.363,-0.092,-0.126
2017/12/29,10000978,2.749,50ETF沽2018年3月2.749A,"229,075.00",0.0335,0.0343,0.0294,0.03,0.03,706,"13,240",0.2985,0.0001,-0.243,1.574,0.442,-0.107,-0.177
2017/12/29,10000985,2.798,50ETF购2018年3月2.798A,"589,479.00",0.1524,0.165,0.1453,0.149,0.1472,383,"8,121",0.4371,0.0001,0.64,1.45,0.528,-0.247,0.411
2017/12/29,10000986,2.798,50ETF沽2018年3月2.798A,"662,633.00",0.0456,0.0497,0.0428,0.045,0.045,"1,397","8,771",0.3235,0.0001,-0.329,1.821,0.51,-0.119,-0.24
2017/12/29,10000987,2.504,50ETF购2018年3月2.504A,"449,909.00",0.4089,0.417,0.3923,0.399,0.399,110,"1,774",0.6834,0.1124,0.869,0.564,0.301,-0.226,0.508
2017/12/29,10000988,2.504,50ETF沽2018年3月2.504A,"59,022.00",0.0049,0.005,0.0042,0.0042,0.0042,"1,264","13,697",0.2204,0.0001,-0.041,0.377,0.125,-0.039,-0.03
2017/12/29,10000989,2.455,50ETF购2018年3月2.455A,"3,220,322.00",0.4544,0.4651,0.44,0.4468,0.4468,706,"8,711",0.7328,0.1618,0.881,0.485,0.281,-0.228,0.505
2017/12/29,10000990,2.455,50ETF沽2018年3月2.455A,"57,995.00",0.0036,0.0038,0.0032,0.0032,0.0032,"1,642","22,427",0.2094,0.0001,-0.031,0.278,0.098,-0.033,-0.022
2017/12/29,10001009,2.847,50ETF购2018年3月2.847A,"925,030.00",0.1236,0.1338,0.116,0.1175,0.1175,745,"12,142",0.4081,0.0001,0.567,1.555,0.555,-0.248,0.367
2017/12/29,10001010,2.847,50ETF沽2018年3月2.847A,"205,732.00",0.0675,0.069,0.0609,0.0634,0.0634,311,"8,344",0.3521,0.0001,-0.423,2.002,0.552,-0.12,-0.31
2017/12/29,10001025,2.651,50ETF购2018年6月2.651A,"1,497,368.00",0.3353,0.343,0.3223,0.3258,0.3245,444,"4,738",0.6134,0.0424,0.739,0.712,0.652,-0.203,0.883
2017/12/29,10001026,2.7,50ETF购2018年6月2.70A,"835,945.00",0.2995,0.3036,0.2842,0.2863,0.2863,282,"2,167",0.5747,0.0037,0.706,0.786,0.691,-0.204,0.855
2017/12/29,10001027,2.749,50ETF购2018年6月2.749A,"269,414.00",0.2638,0.2673,0.249,0.2508,0.2499,102,"2,307",0.5401,0.0001,0.668,0.861,0.728,-0.204,0.819
2017/12/29,10001028,2.798,50ETF购2018年6月2.798A,"358,991.00",0.2299,0.2339,0.216,0.2171,0.2171,159,"2,744",0.5082,0.0001,0.625,0.923,0.761,-0.204,0.775
2017/12/29,10001029,2.847,50ETF购2018年6月2.847A,"624,935.00",0.1962,0.2038,0.1867,0.1875,0.1875,321,"4,757",0.4788,0.0001,0.579,0.972,0.785,-0.202,0.725
2017/12/29,10001030,2.651,50ETF沽2018年6月2.651A,"274,094.00",0.0391,0.0391,0.0354,0.0362,0.0362,726,"17,965",0.2842,0.0001,-0.193,0.868,0.55,-0.071,-0.29
2017/12/29,10001031,2.7,50ETF沽2018年6月2.70A,"162,562.00",0.048,0.0491,0.0455,0.0458,0.0464,336,"8,660",0.3045,0.0001,-0.238,0.999,0.622,-0.076,-0.359
2017/12/29,10001032,2.749,50ETF沽2018年6月2.749A,"153,774.00",0.0603,0.0621,0.0573,0.0586,0.0586,251,"4,007",0.3272,0.0001,-0.289,1.129,0.686,-0.079,-0.436
2017/12/29,10001033,2.798,50ETF沽2018年6月2.798A,"468,801.00",0.0744,0.0779,0.0726,0.0745,0.0745,614,"5,284",0.3527,0.0001,-0.347,1.233,0.741,-0.081,-0.526
2017/12/29,10001034,2.847,50ETF沽2018年6月2.847A,"304,561.00",0.0969,0.0972,0.091,0.0932,0.0932,316,"7,397",0.3819,0.0001,-0.41,1.315,0.78,-0.08,-0.623
2017/12/29,10001039,2.896,50ETF购2018年3月2.896A,"563,624.00",0.1028,0.1075,0.0913,0.0914,0.0918,576,"7,520",0.3789,0.0001,0.49,1.603,0.563,-0.242,0.319
